InsCode,Asset_Name,Industry
67744724115735698,اخزا811,اوراق تامين مالي
5547896159175454,اخزا812,اوراق تامين مالي
65676208671737936,اخزا813,اوراق تامين مالي
61170189647376533,اخزا814,اوراق تامين مالي
25435625417909263,اخزا815,اوراق تامين مالي
45353549301778828,اخزا816,اوراق تامين مالي
61024703979802025,اخزا817,اوراق تامين مالي
68250192165442911,اخزا818,اوراق تامين مالي
5181039426047414,اخزا819,اوراق تامين مالي
12004613727363965,اخزا820,اوراق تامين مالي
3019817952865782,اخزا821,اوراق تامين مالي
34072858270659593,اخزا901,اوراق تامين مالي
44973596387994711,اخزا902,اوراق تامين مالي
68458335399886534,اخزا903,اوراق تامين مالي
19106496156354497,اخزا904,اوراق تامين مالي
17185906359043494,اخزا905,اوراق تامين مالي
17166179154270422,اخزا906,اوراق تامين مالي
48771123304040433,اخزا907,اوراق تامين مالي
17489918101053443,اخزا908,اوراق تامين مالي
14925348052932291,اخزا909,اوراق تامين مالي
40004156358768554,اخزا910,اوراق تامين مالي
65985619452718369,اخزا911,اوراق تامين مالي
31529165012057847,اخزا914,اوراق تامين مالي
43048496991450781,افاد54,اوراق تامين مالي
60978516449331479,افاد82,اوراق تامين مالي
24371538373380305,اراد33,اوراق تامين مالي
42546700252452484,اراد36,اوراق تامين مالي
17911286507762193,اراد364,اوراق تامين مالي
60344745752588969,اراد424,اوراق تامين مالي
47883592226425713,اراد43,اوراق تامين مالي
57945047632313684,اراد434,اوراق تامين مالي
40348118513018291,اراد50,اوراق تامين مالي
50764174542224726,اراد504,اوراق تامين مالي
27319652872658388,اراد55,اوراق تامين مالي
42911811024354777,اراد61,اوراق تامين مالي
71417521805138182,اراد65,اوراق تامين مالي
66687959964607107,اراد74,اوراق تامين مالي
52689252717790612,اراد744,اوراق تامين مالي
13891373690607361,سلامت6,اوراق تامين مالي
64699417405634265,نطرين,منسوجات
63830424809501048,اپرداز,اطلاعات و ارتباطات
55127657985997520,آريا,محصولات شيميايي
59266699437480384,ارفع,فلزات اساسي
44625249840480397,حآسا,حمل ونقل، انبارداري و ارتباطات
24644999329120295,وملل,بانكها و موسسات اعتباري
17617474823279712,آ س پ,انبوه سازي، املاك و مستغلات
5305844922895340,داوه,مواد و محصولات دارويي
54482686501491508,زبينا,زراعت و خدمات وابسته
66142616039907394,دماوند,عرضه برق، گاز، بخاروآب گرم
68909035712962732,ثباغ,انبوه سازي، املاك و مستغلات
48287670503317419,ولبهمن,ساير واسطه گريهاي مالي
12746730665870442,بهپاك,محصولات غذايي و آشاميدني به جز قند و شكر
51971068201094874,بپاس,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
22275596386264204,كوثر,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
71510396252618330,دبالك,مواد و محصولات دارويي
8646067353086740,بالاس,پيمانكاري صنعتي
39807886630843041,بمپنا,عرضه برق، گاز، بخاروآب گرم
43966385447049549,ودي,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
59866041653103343,نوين,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
41625340598198551,بساما,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
68517032834363488,شبصير,محصولات شيميايي
41122066907413786,چخزر,محصولات چوبي
17939384202383793,ثغرب,انبوه سازي، املاك و مستغلات
1822787329898392,كلر,محصولات شيميايي
64341992373049080,سدبير,سرمايه گذاريها
10114441830266109,گدنا,هتل و رستوران
25180702353416009,زدشت,زراعت و خدمات وابسته
66726992874614788,دتوزيع,مواد و محصولات دارويي
38084304113529336,خديزل,خودرو و ساخت قطعات
39751275523025334,اتكاي,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
36773155987365094,اعتلا,سرمايه گذاريها
5427792638736934,زفكا,زراعت و خدمات وابسته
70498485598181604,هرمز,فلزات اساسي
58741071099161284,فرابورس,فعاليتهاي كمكي به نهادهاي مالي واسط
71290297158948749,زقيام,زراعت و خدمات وابسته
34540569618314880,قاسم,خرده فروشي،باستثناي وسايل نقليه موتوري
71068313834275501,بگيلان,عرضه برق، گاز، بخاروآب گرم
33854964748757477,رنيك,خدمات فني و مهندسي
16410724132711490,غفارس,محصولات غذايي و آشاميدني به جز قند و شكر
45518744711972166,غپآذر,محصولات غذايي و آشاميدني به جز قند و شكر
65018804181564924,گوهران,سرمايه گذاريها
30703140537034664,كگهر,استخراج کانه هاي فلزي
55344005108664033,ضملي7004,فلزات اساسي
66155644912694585,ضجار7037,بانكها و موسسات اعتباري
10928048683681643,ضشنا8003,فراورده هاي نفتي، كك و سوخت هسته اي
58195095004306952,ضفلا3001,فلزات اساسي
35911775835774023,ضسپا3000,خودرو و ساخت قطعات
7589585714770259,ضپاس7030,بانكها و موسسات اعتباري
59665785286890288,ضسپا3004,خودرو و ساخت قطعات
69127380152328925,ضسپا8040,خودرو و ساخت قطعات
3364804725289013,ضپاس7028,بانكها و موسسات اعتباري
14433982748627902,ضخود7076,خودرو و ساخت قطعات
55392947441043081,ضسپا3003,خودرو و ساخت قطعات
2221529235471356,ضفلا3002,فلزات اساسي
66065991340922139,ضجار7038,بانكها و موسسات اعتباري
68318131776429593,ضپال2006,استخراج کانه هاي فلزي
51181184305836580,ضخود7075,خودرو و ساخت قطعات
15253567808512995,ضترا8056,فراورده هاي نفتي، كك و سوخت هسته اي
21487763692496856,ضشنا8004,فراورده هاي نفتي، كك و سوخت هسته اي
36098855714063292,ضبدر3001,فراورده هاي نفتي، كك و سوخت هسته اي
25044429813354280,ضپاس7029,بانكها و موسسات اعتباري
47077325533515854,ضسپا8039,خودرو و ساخت قطعات
37016155512293915,ضپال2007,استخراج کانه هاي فلزي
13159807909493237,هنوري102,محصولات شيميايي
63395132075359459,ضصاد8033,بانكها و موسسات اعتباري
23379626722944205,ضسپا3001,خودرو و ساخت قطعات
67451560685987112,ضملت3001,بانكها و موسسات اعتباري
50195016899950903,ضترا8055,فراورده هاي نفتي، كك و سوخت هسته اي
14621448035797959,ضخود7077,خودرو و ساخت قطعات
37778183352514707,ضفار8047,محصولات شيميايي
30833222394217136,ضشنا8001,فراورده هاي نفتي، كك و سوخت هسته اي
33509834084411590,ضملت3003,بانكها و موسسات اعتباري
67993759446307473,ضغدر3000,شرکتهاي چند رشته اي صنعتي
66824711724213057,ضجار7040,بانكها و موسسات اعتباري
70626195306495731,ضخود7074,خودرو و ساخت قطعات
55063374774131788,ضشنا8002,فراورده هاي نفتي، كك و سوخت هسته اي
24518102867823028,ضخود7078,خودرو و ساخت قطعات
15714543178101561,ضجار7039,بانكها و موسسات اعتباري
21739827748084069,ضشنا8000,فراورده هاي نفتي، كك و سوخت هسته اي
3109622240783020,ضپيك7041,محصولات شيميايي
67275044704648675,ضپيك7039,محصولات شيميايي
28427932055063272,هكوير109,فلزات اساسي
14714724454665020,ضخود7072,خودرو و ساخت قطعات
28651877626222725,ضملي7003,فلزات اساسي
31531924422002864,ضغدر8056,شرکتهاي چند رشته اي صنعتي
47656761093772146,ضسپا8042,خودرو و ساخت قطعات
881871974186190,ضفلا3006,فلزات اساسي
33999993357686605,ضسپا8041,خودرو و ساخت قطعات
12664593697060038,همبين102,عرضه برق، گاز، بخاروآب گرم
57542615669675911,ضفلا3003,فلزات اساسي
61138375569132052,هپارس102,محصولات شيميايي
43188866599177762,ضخود7073,خودرو و ساخت قطعات
4415828309301111,ضصاد8030,بانكها و موسسات اعتباري
15151983009884578,ضسپا3002,خودرو و ساخت قطعات
38719469254848966,ضغدر3002,شرکتهاي چند رشته اي صنعتي
62558926998470335,ضملت8041,بانكها و موسسات اعتباري
38273082946137845,ضغدر3003,شرکتهاي چند رشته اي صنعتي
12368242554230081,ضصاد8038,بانكها و موسسات اعتباري
64441985517247047,ضملت3000,بانكها و موسسات اعتباري
17993036006819673,ضفلا3004,فلزات اساسي
59564600045289487,ضملت3002,بانكها و موسسات اعتباري
31319571038181065,ضترا8057,فراورده هاي نفتي، كك و سوخت هسته اي
36263817190995463,ضصاد8031,بانكها و موسسات اعتباري
39691642384569723,ضخود4003,خودرو و ساخت قطعات
22484465527300213,ضملت8038,بانكها و موسسات اعتباري
34096135285339503,ضصاد3001,بانكها و موسسات اعتباري
8210734740777358,ضبدر3003,فراورده هاي نفتي، كك و سوخت هسته اي
20237556956836583,ضصاد3000,بانكها و موسسات اعتباري
34783600411091459,ضفلا7003,فلزات اساسي
25247997049920089,ضصاد8039,بانكها و موسسات اعتباري
38407001005549158,ضپاس7027,بانكها و موسسات اعتباري
21809651793872657,ضملت8042,بانكها و موسسات اعتباري
12872237992812035,ضملي7005,فلزات اساسي
28683929595428153,ضملي7002,فلزات اساسي
61930566507892254,ضخود4002,خودرو و ساخت قطعات
24864773402823633,ضفلا7002,فلزات اساسي
85752389012333,ضشنا8005,فراورده هاي نفتي، كك و سوخت هسته اي
16133952185388097,ضخود4000,خودرو و ساخت قطعات
56984947117530083,ضبدر3002,فراورده هاي نفتي، كك و سوخت هسته اي
12806851417374457,ضفلا3005,فلزات اساسي
10654052153538617,كابگن  - لغو پذیرش شده,ساير محصولات كاني غيرفلزي
9987529074833218,آبين  - مشمول ماده 36 قانون احکام دائمی برنامه هاي توسعه کشور,زراعت و خدمات وابسته
19367527798307032,فالوم  - لغو پذیرش شده,فلزات اساسي
71957984642204570,شپترو  - لغو پذیرش شده,محصولات شيميايي
38738476064699383,آرمان  - قانون احکام دائمی برنامه های توسعه کشور,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
24212636157410845,وآرين  - قانون احکام دائمی برنامه های توسعه کشور,سرمايه گذاريها
53686258677793038,وارس  - قانون احکام دائمی برنامه های توسعه کشور,واسطه‌گري‌هاي مالي و پولي
68994573424108746,پارتا  - لغو پذیرش شده,لاستيك و پلاستيك
17269972595370241,وآتوس  - قانون احکام دائمی برنامه های توسعه کشور,واسطه‌گري‌هاي مالي و پولي
46830341954511303,وآيند  - قانون احکام دائمی برنامه های توسعه کشور,بانكها و موسسات اعتباري
50368344235826302,لازما  - لغو پذیرش شده,ماشين آلات و تجهيزات
64155926828410021,ساذري  - لغو پذیرش شده,ساير محصولات كاني غيرفلزي
25631699615003698,كهرام  - لغو پذیرش شده,كاشي و سراميك
17933573078185644,آينده  - قانون احکام دائمی برنامه های توسعه کشور,زراعت و خدمات وابسته
49399017998386087,فبيرا  - لغو پذیرش شده,ساخت محصولات فلزي
26882843763780650,باران,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
10843114830116591,نبروج,منسوجات
38179358042686391,سامان  - قانون احکام دائمی برنامه های توسعه کشور,بانكها و موسسات اعتباري
41379697187196382,وشهر  - قانون احکام دائمی برنامه های توسعه کشور,بانكها و موسسات اعتباري
4267564158935326,قيستو  - لغو پذیرش شده,قند و شكر
24807173016704795,سباقر  - قانون احکام دائمی برنامه های توسعه کشور,سيمان، آهك و گچ
40043919653526083,وثخوز  - قانون احکام دائمی برنامه های توسعه کشور,انبوه سازي، املاك و مستغلات
58035444268544991,سمتاز  - قانون احکام دائمی برنامه های توسعه کشور,سيمان، آهك و گچ
831325835570803,ثنام  - قانون احکام دائمی برنامه های توسعه کشور,انبوه سازي، املاك و مستغلات
47702059190622416,ثتوسا  - قانون احکام دائمی برنامه های توسعه کشور,انبوه سازي، املاك و مستغلات
28854105556435129,ثزاگرس  - قانون احکام دائمی برنامه های توسعه کشور,انبوه سازي، املاك و مستغلات
43374709930371268,دحاوي  - قانون احکام دائمی برنامه های توسعه کشور,مواد و محصولات دارويي
42256988946157416,تماوند,فعاليتهاي كمكي به نهادهاي مالي واسط
64707090254488560,ثعتما  - قانون احکام دائمی برنامه های توسعه کشور,انبوه سازي، املاك و مستغلات
60633055620418060,فلات  - قانون احکام دائمی برنامه های توسعه کشور,سرمايه گذاريها
45062188442385800,تفيرو  - لغو پذیرش شده,ماشين آلات و تجهيزات
66514709341259550,فوكا  - لغو پذیرش شده,فلزات اساسي
29316948750916349,پلوله  - لغو پذیرش شده,لاستيك و پلاستيك
64289770858657141,دقاضي  - لغو پذیرش شده,مواد و محصولات دارويي
7920014658832193,وگردش  - لغو پذیرش شده,بانكها و موسسات اعتباري
34621618468546063,ولتجار  - قانون احکام دائمی برنامه های توسعه کشور,واسطه‌گري‌هاي مالي و پولي
5128151910501174,وحافظ  - مشمول ماده 36 قانون احکام دائمی برنامه هاي توسعه کشور,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
54509759694064219,تپكو  - لغو پذیرش شده,ماشين آلات و تجهيزات
12777578088653944,وحكمت  - قانون احکام دائمی برنامه های توسعه کشور,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
60783654574662426,وهنر  - قانون احکام دائمی برنامه های توسعه کشور,فعاليت هاي هنري، سرگرمي و خلاقانه
43913530989262989,سمايه  - لغو پذیرش شده,بانكها و موسسات اعتباري
19310456400689867,خبازرس  - قانون احکام دائمی برنامه های توسعه کشور,فعاليت مهندسي، تجزيه، تحليل و آزمايش فني
36995197800118822,سنوين  - مشمول ماده 36 قانون احکام دائمی برنامه هاي توسعه کشور,سرمايه گذاريها
35369183060321179,ومشان  - قانون احکام دائمی برنامه های توسعه کشور,واسطه‌گري‌هاي مالي و پولي
16315910303613772,خاور  - لغو پذیرش شده,خودرو و ساخت قطعات
62558705479545830,سايرا  - لغو پذیرش شده/ اظهارنظر مردود,ساير محصولات كاني غيرفلزي
23269285154135003,جوين  - قانون احکام دائمی برنامه های توسعه کشور,زراعت و خدمات وابسته
57600064931636077,وجامي  - قانون احکام دائمی برنامه های توسعه کشور,سرمايه گذاريها
23891830829322971,بايكا  - لغو پذیرش شده,ماشين آلات و دستگاه‌هاي برقي
49627523909849331,كفرآور  - قانون احکام دائمی برنامه های توسعه کشور,ساير محصولات كاني غيرفلزي
22956708386610464,خودكفا  - قانون احکام دائمی برنامه های توسعه کشور,محصولات غذايي و آشاميدني به جز قند و شكر
23049019886587905,خفولا  - قانون احکام دائمی برنامه های توسعه کشور,خدمات فني و مهندسي
29527985620948695,خكرمان  - قانون احکام دائمی برنامه های توسعه کشور,خودرو و ساخت قطعات
45641540066710190,لكما  - لغو پذیرش شده,ساخت دستگاه‌ها و وسايل ارتباطي
49953653111442595,كيسون  - مشمول ماده 36 قانون احکام دائمی برنامه هاي توسعه کشور,انبوه سازي، املاك و مستغلات
56006915451245411,لخانه  - لغو پذیرش شده,ماشين آلات و تجهيزات
54263829393913132,كمينا  - قانون احکام دائمی برنامه های توسعه کشور,ساير محصولات كاني غيرفلزي
16553062355259729,بميلا  - قانون احکام دائمی برنامه های توسعه کشور,تجارت عمده فروشي به جز وسايل نقليه موتور
